Reference,Qty,Value,Footprint,Datasheet,powe rating,cost
C1,1,680uF,Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal,~,0.5,15
C2,1,220uF,Capacitor_THT:C_Axial_L5.1mm_D3.1mm_P10.00mm_Horizontal,~,0.5,10
D1,1,1N5822,Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal,http://www.vishay.com/docs/88526/1n5820.pdf,1,7
D2,1,LED,LED_THT:LED_D3.0mm,~,0.25,2
"J1,J2",2,Screw_Terminal_01x02,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",~,,7
L1,1,33uH,Inductor_THT:L_Axial_L5.3mm_D2.2mm_P7.62mm_Horizontal_Vishay_IM-1,~,1,25
R1,1,15,Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,~,1,2
SW1,1,SW_Push,Button_Switch_THT:SW_PUSH_6mm,~,0.1,5
U1,1,LM2596T-5,Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,http://www.ti.com/lit/ds/symlink/lm2596.pdf,7,35
,,,,,,108
